current_time,temp,humidity,main
2026-03-05 05:37:00,10.5,22,Clouds
2026-03-05 06:07:59,11.76,40,Haze
2026-03-05 07:09:07,10.48,36,Clouds
2026-03-05 07:54:27,8.87,57,Clouds
2026-03-05 08:37:40,7.36,73,Clouds
2026-03-05 09:25:59,7.36,73,Rain
2026-03-05 10:07:51,5.74,86,Rain
2026-03-05 10:59:36,4.76,93,Rain
2026-03-05 11:41:28,3.76,93,Rain
2026-03-05 12:02:22,3.76,93,Rain
2026-03-05 13:22:39,1.86,97,Rain
2026-03-05 14:10:40,1.89,99,Rain
2026-03-05 15:05:52,2.3,99,Rain
2026-03-05 16:00:23,2.3,96,Rain
